what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.0",1608146906202
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1608146906202
java.vm.version,sysinfo,,,"19.0-b09",1608146906202
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1608146908459
started,bundle,com.altera.sbtgui.core,11.1.0.259,"com.altera.sbtgui.core",1608146910252
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1608146910344
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608146911845
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608146912982
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608146920085
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608146945790
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608146951278
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608146956113
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1608146959904
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1608146959931
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1608146959938
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608146960910
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608146963781
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1608146964909
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1608146964923
opened,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1608146969502
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1608146969911
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1608146969921
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1608146969922
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1608146969923
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1608146969936
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1608146987395
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608146988905
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608147093163
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1608147093167
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1608147096336
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1608147123421
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1608147135386
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1608147145562
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608147147336
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608147148205
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608147160583
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608147185831
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608147196719
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608147201844
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608147205855
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608147208782
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1608147209443
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1608147213630
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608147244825
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608147307972
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1608147308042
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1608147338013
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1608147341168
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608147353270
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608147361143
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1608147361204
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1608147362085
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1608147367233
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1608147374979
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1608147380259
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608147381573
